"Classe","Nome Corso","Ateneo","Anno accademico","Descrizione indicatore","ID Indicatore","Numeratore","Denominatore"
"L-8 - Ingegneria dell'informazione","0170106200800004 - Ingegneria informatica","Università di Brescia","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","28.000","54.000"
"L-8 - Ingegneria dell'informazione","0170106200800004 - Ingegneria informatica","Università di Brescia","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","38.000","90.000"
"L-8 - Ingegneria dell'informazione","0170106200800004 - Ingegneria informatica","Università di Brescia","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","29.000","78.000"
"L-8 - Ingegneria dell'informazione","0170106200800004 - Ingegneria informatica","Università di Brescia","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","39.000","72.000"
"L-8 - Ingegneria dell'informazione","0170106200800005 - Ingegneria elettronica e delle telecomunicazioni","Università di Brescia","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","5.000","19.000"
"L-8 - Ingegneria dell'informazione","0170106200800005 - Ingegneria elettronica e delle telecomunicazioni","Università di Brescia","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","10.000","32.000"
"L-8 - Ingegneria dell'informazione","0170106200800005 - Ingegneria elettronica e delle telecomunicazioni","Università di Brescia","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","11.000","21.000"
"L-8 - Ingegneria dell'informazione","0170106200800005 - Ingegneria elettronica e delle telecomunicazioni","Università di Brescia","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","7.000","29.000"
"L-8 - Ingegneria dell'informazione","0170106200800005 - Ingegneria elettronica e delle telecomunicazioni","Università di Brescia","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","6.000","21.000"
"L-8 - Ingegneria dell'informazione","0170106200800005 - Ingegneria elettronica e delle telecomunicazioni","Università di Brescia","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","9.000","30.000"
"L-8 - Ingegneria dell'informazione","0170106200800006 - Ingegneria delle tecnologie per l'impresa digitale","Università di Brescia","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","9.000","13.000"
"L-8 - Ingegneria dell'informazione","0170106200800006 - Ingegneria delle tecnologie per l'impresa digitale","Università di Brescia","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","25.000","36.000"
"L-8 - Ingegneria dell'informazione","0170106200800006 - Ingegneria delle tecnologie per l'impresa digitale","Università di Brescia","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","10.000","15.000"
"L-8 - Ingegneria dell'informazione","0170106200900011 - Ingegneria dell'automazione industriale","Università di Brescia","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","3.000","6.000"
"L-8 - Ingegneria dell'informazione","0170106200900011 - Ingegneria dell'automazione industriale","Università di Brescia","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","2.000","4.000"
"L-8 - Ingegneria dell'informazione","0170106200900011 - Ingegneria dell'automazione industriale","Università di Brescia","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","1.000","1.000"
"L-8 - Ingegneria dell'informazione","0170106200900011 - Ingegneria dell'automazione industriale","Università di Brescia","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","1.000","3.000"
"L-8 - Ingegneria dell'informazione","0170106200900011 - Ingegneria dell'automazione industriale","Università di Brescia","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","2.000","4.000"
"L-8 - Ingegneria dell'informazione","0170106200900011 - Ingegneria dell'automazione industriale","Università di Brescia","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","3.000","6.000"
"L-8 - Ingegneria dell'informazione","0180106200800009 - Ingegneria Elettronica e Informatica","Università di Pavia","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","35.000","85.000"
"L-8 - Ingegneria dell'informazione","0180106200800009 - Ingegneria Elettronica e Informatica","Università di Pavia","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","38.000","76.000"
"L-8 - Ingegneria dell'informazione","0180106200800009 - Ingegneria Elettronica e Informatica","Università di Pavia","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","30.000","75.000"
"L-8 - Ingegneria dell'informazione","0180106200800009 - Ingegneria Elettronica e Informatica","Università di Pavia","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","27.000","65.000"
"L-8 - Ingegneria dell'informazione","0180106200800009 - Ingegneria Elettronica e Informatica","Università di Pavia","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","25.000","67.000"
"L-8 - Ingegneria dell'informazione","0180106200800009 - Ingegneria Elettronica e Informatica","Università di Pavia","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","12.000","41.000"
"L-8 - Ingegneria dell'informazione","0180106200800010 - Bioingegneria","Università di Pavia","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","63.000","102.000"
"L-8 - Ingegneria dell'informazione","0180106200800010 - Bioingegneria","Università di Pavia","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","45.000","83.000"
"L-8 - Ingegneria dell'informazione","0180106200800010 - Bioingegneria","Università di Pavia","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","61.000","111.000"
"L-8 - Ingegneria dell'informazione","0180106200800010 - Bioingegneria","Università di Pavia","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","51.000","129.000"
