"Ateneo","Anno accademico","Classe","Nome Corso","ID Indicatore","Descrizione indicatore","Numeratore"
"Politecnica delle Marche","2024","L-8 - Ingegneria dell'informazione","0420106200800006 - Ingegneria Biomedica","iC16BIS","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","55.000"
"Politecnica delle Marche","2024","L-8 - Ingegneria dell'informazione","0420106200800006 - Ingegneria Biomedica","iC21","Percentuale di studenti che proseguono la carriera nel sistema universitario al II anno**","155.000"
"Politecnica delle Marche","2024","L-8 - Ingegneria dell'informazione","0420106200800010 - Ingegneria Informatica e dell'Automazione","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","215.000"
"Politecnica delle Marche","2024","L-8 - Ingegneria dell'informazione","0420106200800010 - Ingegneria Informatica e dell'Automazione","iC00b","Immatricolati puri ** (L; LMCU)","192.000"
"Politecnica delle Marche","2024","L-8 - Ingegneria dell'informazione","0420106200800010 - Ingegneria Informatica e dell'Automazione","iC02","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","52.000"
"Politecnica delle Marche","2024","L-8 - Ingegneria dell'informazione","0420106200800010 - Ingegneria Informatica e dell'Automazione","iC14","Percentuale di studenti che proseguono nel II anno nello stesso corso di studio**","151.000"
"Politecnica delle Marche","2024","L-8 - Ingegneria dell'informazione","0420106200800010 - Ingegneria Informatica e dell'Automazione","iC16BIS","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","54.000"
"Politecnica delle Marche","2024","L-8 - Ingegneria dell'informazione","0420106200800010 - Ingegneria Informatica e dell'Automazione","iC21","Percentuale di studenti che proseguono la carriera nel sistema universitario al II anno**","166.000"
"Politecnica delle Marche","2024","L-8 - Ingegneria dell'informazione","0420106200800014 - INGEGNERIA ELETTRONICA E DELLE TECNOLOGIE DIGITALI ","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","64.000"
"Politecnica delle Marche","2024","L-8 - Ingegneria dell'informazione","0420106200800014 - INGEGNERIA ELETTRONICA E DELLE TECNOLOGIE DIGITALI ","iC00b","Immatricolati puri ** (L; LMCU)","57.000"
"Politecnica delle Marche","2024","L-8 - Ingegneria dell'informazione","0420106200800014 - INGEGNERIA ELETTRONICA E DELLE TECNOLOGIE DIGITALI ","iC02","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","16.000"
"Politecnica delle Marche","2024","L-8 - Ingegneria dell'informazione","0420106200800014 - INGEGNERIA ELETTRONICA E DELLE TECNOLOGIE DIGITALI ","iC14","Percentuale di studenti che proseguono nel II anno nello stesso corso di studio**","42.000"
"Politecnica delle Marche","2024","L-8 - Ingegneria dell'informazione","0420106200800014 - INGEGNERIA ELETTRONICA E DELLE TECNOLOGIE DIGITALI ","iC16BIS","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","13.000"
"Politecnica delle Marche","2024","L-8 - Ingegneria dell'informazione","0420106200800014 - INGEGNERIA ELETTRONICA E DELLE TECNOLOGIE DIGITALI ","iC21","Percentuale di studenti che proseguono la carriera nel sistema universitario al II anno**","45.000"
"Politecnica delle Marche","2024","L-8 - Ingegneria dell'informazione","0420106200800015 - INGEGNERIA DELL’INFORMAZIONE PER VIDEOGAME E REALTÀ VIRTUALE","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","84.000"
"Politecnica delle Marche","2024","L-8 - Ingegneria dell'informazione","0420106200800015 - INGEGNERIA DELL’INFORMAZIONE PER VIDEOGAME E REALTÀ VIRTUALE","iC00b","Immatricolati puri ** (L; LMCU)","61.000"
"Politecnica delle Marche","2024","L-8 - Ingegneria dell'informazione","0420106200800015 - INGEGNERIA DELL’INFORMAZIONE PER VIDEOGAME E REALTÀ VIRTUALE","iC14","Percentuale di studenti che proseguono nel II anno nello stesso corso di studio**","43.000"
"Politecnica delle Marche","2024","L-8 - Ingegneria dell'informazione","0420106200800015 - INGEGNERIA DELL’INFORMAZIONE PER VIDEOGAME E REALTÀ VIRTUALE","iC16BIS","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","18.000"
